episode: 22400/1000000, reward: 0.0, epsilon: 0.11, max reward: 11.0, mean past 100 rewards: 1.48
episode: 22500/1000000, reward: 0.0, epsilon: 0.11, max reward: 11.0, mean past 100 rewards: 0.98
episode: 22600/1000000, reward: 0.0, epsilon: 0.1, max reward: 11.0, mean past 100 rewards: 2.45
episode: 22700/1000000, reward: 1.0, epsilon: 0.1, max reward: 11.0, mean past 100 rewards: 1.6
episode: 22800/1000000, reward: 0.0, epsilon: 0.1, max reward: 11.0, mean past 100 rewards: 1.86
episode: 22900/1000000, reward: 0.0, epsilon: 0.1, max reward: 11.0, mean past 100 rewards: 1.24
episode: 23000/1000000, reward: 0.0, epsilon: 0.1, max reward: 11.0, mean past 100 rewards: 1.79
episode: 23100/1000000, reward: 0.0, epsilon: 0.099, max reward: 11.0, mean past 100 rewards: 1.38
episode: 23200/1000000, reward: 0.0, epsilon: 0.098, max reward: 11.0, mean past 100 rewards: 1.13
episode: 23300/1000000, reward: 0.0, epsilon: 0.097, max reward: 11.0, mean past 100 rewards: 2.19
episode: 23400/1000000, reward: 0.0, epsilon: 0.096, max reward: 11.0, mean past 100 rewards: 1.49
episode: 23500/1000000, reward: 1.0, epsilon: 0.095, max reward: 11.0, mean past 100 rewards: 1.68
episode: 23600/1000000, reward: 1.0, epsilon: 0.094, max reward: 11.0, mean past 100 rewards: 1.93
episode: 23700/1000000, reward: 0.0, epsilon: 0.093, max reward: 11.0, mean past 100 rewards: 1.61
episode: 23800/1000000, reward: 0.0, epsilon: 0.093, max reward: 11.0, mean past 100 rewards: 1.0
episode: 23900/1000000, reward: 0.0, epsilon: 0.092, max reward: 11.0, mean past 100 rewards: 0.81
episode: 24000/1000000, reward: 0.0, epsilon: 0.091, max reward: 11.0, mean past 100 rewards: 0.92
episode: 24100/1000000, reward: 0.0, epsilon: 0.09, max reward: 11.0, mean past 100 rewards: 0.74
episode: 24200/1000000, reward: 0.0, epsilon: 0.089, max reward: 11.0, mean past 100 rewards: 0.71
episode: 24300/1000000, reward: 0.0, epsilon: 0.088, max reward: 11.0, mean past 100 rewards: 1.13
episode: 24400/1000000, reward: 1.0, epsilon: 0.087, max reward: 11.0, mean past 100 rewards: 0.84
episode: 24500/1000000, reward: 0.0, epsilon: 0.086, max reward: 11.0, mean past 100 rewards: 0.31
episode: 24600/1000000, reward: 0.0, epsilon: 0.085, max reward: 11.0, mean past 100 rewards: 1.41
episode: 24700/1000000, reward: 0.0, epsilon: 0.085, max reward: 11.0, mean past 100 rewards: 1.32
episode: 24800/1000000, reward: 1.0, epsilon: 0.084, max reward: 11.0, mean past 100 rewards: 1.19
episode: 24900/1000000, reward: 0.0, epsilon: 0.083, max reward: 11.0, mean past 100 rewards: 1.22
episode: 25000/1000000, reward: 2.0, epsilon: 0.082, max reward: 11.0, mean past 100 rewards: 1.66
episode: 25100/1000000, reward: 0.0, epsilon: 0.081, max reward: 11.0, mean past 100 rewards: 1.73
episode: 25200/1000000, reward: 0.0, epsilon: 0.08, max reward: 11.0, mean past 100 rewards: 1.43
episode: 25300/1000000, reward: 1.0, epsilon: 0.08, max reward: 11.0, mean past 100 rewards: 0.48
episode: 25400/1000000, reward: 0.0, epsilon: 0.079, max reward: 11.0, mean past 100 rewards: 0.98
episode: 25500/1000000, reward: 2.0, epsilon: 0.078, max reward: 11.0, mean past 100 rewards: 1.35
episode: 0/1000000, reward: 0.0, epsilon: 1.0, max reward: 0, mean past 100 rewards: 0.0
episode: 0/1000000, reward: 0.0, epsilon: 1.0, max reward: 0, mean past 100 rewards: 0.0
episode: 0/1000000, reward: 0.0, epsilon: 1.0, max reward: 0, mean past 100 rewards: 0.0
episode: 0/1000000, reward: 0.0, epsilon: 1.0, max reward: 0, mean past 100 rewards: 0.0
episode: 0/1000000, reward: 2.0, epsilon: 0.99, max reward: 2.0, mean past 100 rewards: 2.0
